alert_id,alert_type,is_sar,tran_id,orig_acct,bene_acct,tx_type,base_amt,tran_timestamp
5,fan_in,True,1,93,56,TRANSFER,889.62,2017-01-01T00:00:00Z
2,fan_in,True,22,9,40,TRANSFER,1609.44,2017-01-01T00:00:00Z
4,fan_in,True,24,69,47,TRANSFER,727.15,2017-01-01T00:00:00Z
3,fan_in,True,31,42,77,TRANSFER,1164.89,2017-01-02T00:00:00Z
8,fan_in,True,49,25,43,TRANSFER,1726.82,2017-01-02T00:00:00Z
1,fan_in,True,78,92,58,TRANSFER,1052.51,2017-01-04T00:00:00Z
9,fan_in,True,83,97,64,TRANSFER,1083.89,2017-01-04T00:00:00Z
7,fan_in,True,86,73,12,TRANSFER,306.18,2017-01-04T00:00:00Z
6,fan_in,True,101,80,37,TRANSFER,984.66,2017-01-04T00:00:00Z
0,fan_in,True,105,99,81,TRANSFER,1030.73,2017-01-05T00:00:00Z
19,cycle,True,800,7,35,TRANSFER,127.94,2017-02-06T00:00:00Z
19,cycle,True,801,78,16,TRANSFER,413.95,2017-02-06T00:00:00Z
19,cycle,True,802,16,7,TRANSFER,343.99,2017-02-06T00:00:00Z
19,cycle,True,924,35,78,TRANSFER,159.14,2017-02-12T00:00:00Z
7,fan_in,True,2055,66,12,TRANSFER,651.07,2017-04-06T00:00:00Z
16,cycle,True,2327,24,68,TRANSFER,379.45,2017-04-19T00:00:00Z
16,cycle,True,2328,98,48,TRANSFER,1767.12,2017-04-19T00:00:00Z
16,cycle,True,2454,48,24,TRANSFER,1436.11,2017-04-24T00:00:00Z
16,cycle,True,2540,68,98,TRANSFER,204.99,2017-04-29T00:00:00Z
10,cycle,True,4128,59,96,TRANSFER,1094.02,2017-07-12T00:00:00Z
10,cycle,True,4181,60,91,TRANSFER,588.5,2017-07-15T00:00:00Z
10,cycle,True,4222,91,59,TRANSFER,1210.54,2017-07-16T00:00:00Z
10,cycle,True,4293,96,60,TRANSFER,1955.28,2017-07-20T00:00:00Z
3,fan_in,True,7667,49,77,TRANSFER,1896.35,2017-12-25T00:00:00Z
9,fan_in,True,8163,14,64,TRANSFER,1759.69,2018-01-18T00:00:00Z
8,fan_in,True,8250,28,43,TRANSFER,1384.97,2018-01-22T00:00:00Z
4,fan_in,True,8527,62,47,TRANSFER,1437.76,2018-02-04T00:00:00Z
2,fan_in,True,9043,29,40,TRANSFER,804.35,2018-03-02T00:00:00Z
17,cycle,True,9098,63,52,TRANSFER,1559.95,2018-03-05T00:00:00Z
17,cycle,True,9099,36,19,TRANSFER,958.14,2018-03-05T00:00:00Z
17,cycle,True,9127,19,63,TRANSFER,1850.74,2018-03-06T00:00:00Z
17,cycle,True,9183,52,36,TRANSFER,459.44,2018-03-09T00:00:00Z
11,cycle,True,9295,85,0,TRANSFER,800.0,2018-03-14T00:00:00Z
11,cycle,True,9352,2,85,TRANSFER,1774.64,2018-03-17T00:00:00Z
11,cycle,True,9417,13,2,TRANSFER,272.32,2018-03-20T00:00:00Z
11,cycle,True,9439,0,13,TRANSFER,886.88,2018-03-21T00:00:00Z
0,fan_in,True,9776,41,81,TRANSFER,1179.49,2018-04-08T00:00:00Z
1,fan_in,True,12392,45,58,TRANSFER,1870.74,2018-08-30T00:00:00Z
5,fan_in,True,12985,57,56,TRANSFER,1481.89,2018-10-06T00:00:00Z
3,fan_in,True,14109,50,77,TRANSFER,582.83,2018-12-17T00:00:00Z
18,cycle,True,14580,31,17,TRANSFER,676.87,2019-01-20T00:00:00Z
18,cycle,True,14710,17,88,TRANSFER,665.84,2019-01-29T00:00:00Z
12,cycle,True,14872,23,51,TRANSFER,228.62,2019-02-09T00:00:00Z
12,cycle,True,14894,76,53,TRANSFER,1725.43,2019-02-10T00:00:00Z
8,fan_in,True,14907,34,43,TRANSFER,331.26,2019-02-11T00:00:00Z
12,cycle,True,14925,53,23,TRANSFER,1669.42,2019-02-12T00:00:00Z
12,cycle,True,14970,51,76,TRANSFER,60.83,2019-02-15T00:00:00Z
14,cycle,True,15935,55,44,TRANSFER,149.91,2019-04-27T00:00:00Z
2,fan_in,True,15987,21,40,TRANSFER,285.83,2019-05-01T00:00:00Z
14,cycle,True,16052,44,3,TRANSFER,144.28,2019-05-06T00:00:00Z
13,cycle,True,22343,30,67,TRANSFER,306.22,2020-09-11T00:00:00Z
13,cycle,True,22396,67,22,TRANSFER,1793.7,2020-09-15T00:00:00Z
13,cycle,True,22397,22,30,TRANSFER,610.63,2020-09-15T00:00:00Z
15,cycle,True,22890,11,54,TRANSFER,321.98,2020-10-27T00:00:00Z
15,cycle,True,22918,5,11,TRANSFER,116.84,2020-10-29T00:00:00Z
15,cycle,True,22989,54,5,TRANSFER,546.42,2020-11-04T00:00:00Z
