birthPlaceCountry,countryOfIncorporation,countryOfResidency,deathTime,firstName,isActive,lastName,legalName,listedCompany,maritalStatus,middleName,name,nameAlias,nationality,occupation,organizationSymbol,partyId,partyType,sourceOfIncome,title,website,gender,homePhone,alternatePhone,cellPhone,primaryPhone,workPhone,alternateEmail,companyEmail,personalEmail,workEmail,isIndividual
US,US,US,,,,,,,,,,,US,,,3,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,4,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,6,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,7,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,8,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,9,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,10,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,11,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,12,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,14,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,15,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,16,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,18,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,19,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,21,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,24,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,26,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,27,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,30,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,31,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,33,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,36,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,37,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,38,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,46,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,49,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,50,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,52,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,55,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,62,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,63,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,64,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,65,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,66,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,67,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,70,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,81,Organization,,,,,,,,,,,,,,False
