ALERT_ID,ACCOUNT_ID,CUSTOMER_ID,EVENT_DATE,ALERT_TYPE,ACCOUNT_TYPE,IS_SAR
0,99,C_99,20170105,fan_in,INDIVIDUAL,YES
0,81,C_81,20170105,fan_in,INDIVIDUAL,YES
0,41,C_41,20180408,fan_in,INDIVIDUAL,YES
1,92,C_92,20170104,fan_in,INDIVIDUAL,YES
1,58,C_58,20170104,fan_in,INDIVIDUAL,YES
1,45,C_45,20180830,fan_in,INDIVIDUAL,YES
2,9,C_9,20170101,fan_in,INDIVIDUAL,YES
2,40,C_40,20170101,fan_in,INDIVIDUAL,YES
2,29,C_29,20180302,fan_in,INDIVIDUAL,YES
2,21,C_21,20190501,fan_in,INDIVIDUAL,YES
3,42,C_42,20170102,fan_in,INDIVIDUAL,YES
3,77,C_77,20170102,fan_in,INDIVIDUAL,YES
3,49,C_49,20171225,fan_in,INDIVIDUAL,YES
3,50,C_50,20181217,fan_in,INDIVIDUAL,YES
4,69,C_69,20170101,fan_in,INDIVIDUAL,YES
4,47,C_47,20170101,fan_in,INDIVIDUAL,YES
4,62,C_62,20180204,fan_in,INDIVIDUAL,YES
5,93,C_93,20170101,fan_in,INDIVIDUAL,YES
5,56,C_56,20170101,fan_in,INDIVIDUAL,YES
5,57,C_57,20181006,fan_in,INDIVIDUAL,YES
6,80,C_80,20170104,fan_in,INDIVIDUAL,YES
6,37,C_37,20170104,fan_in,INDIVIDUAL,YES
7,73,C_73,20170104,fan_in,INDIVIDUAL,YES
7,12,C_12,20170104,fan_in,INDIVIDUAL,YES
7,66,C_66,20170406,fan_in,INDIVIDUAL,YES
8,25,C_25,20170102,fan_in,INDIVIDUAL,YES
8,43,C_43,20170102,fan_in,INDIVIDUAL,YES
8,28,C_28,20180122,fan_in,INDIVIDUAL,YES
8,34,C_34,20190211,fan_in,INDIVIDUAL,YES
9,97,C_97,20170104,fan_in,INDIVIDUAL,YES
9,64,C_64,20170104,fan_in,INDIVIDUAL,YES
9,14,C_14,20180118,fan_in,INDIVIDUAL,YES
10,59,C_59,20170712,cycle,INDIVIDUAL,YES
10,96,C_96,20170712,cycle,INDIVIDUAL,YES
10,60,C_60,20170715,cycle,INDIVIDUAL,YES
10,91,C_91,20170715,cycle,INDIVIDUAL,YES
11,85,C_85,20180314,cycle,INDIVIDUAL,YES
11,0,C_0,20180314,cycle,INDIVIDUAL,YES
11,2,C_2,20180317,cycle,INDIVIDUAL,YES
11,13,C_13,20180320,cycle,INDIVIDUAL,YES
12,23,C_23,20190209,cycle,INDIVIDUAL,YES
12,51,C_51,20190209,cycle,INDIVIDUAL,YES
12,76,C_76,20190210,cycle,INDIVIDUAL,YES
12,53,C_53,20190210,cycle,INDIVIDUAL,YES
13,30,C_30,20200911,cycle,INDIVIDUAL,YES
13,67,C_67,20200911,cycle,INDIVIDUAL,YES
13,22,C_22,20200915,cycle,INDIVIDUAL,YES
14,55,C_55,20190427,cycle,INDIVIDUAL,YES
14,44,C_44,20190427,cycle,INDIVIDUAL,YES
14,3,C_3,20190506,cycle,INDIVIDUAL,YES
15,11,C_11,20201027,cycle,INDIVIDUAL,YES
15,54,C_54,20201027,cycle,INDIVIDUAL,YES
15,5,C_5,20201029,cycle,INDIVIDUAL,YES
16,24,C_24,20170419,cycle,INDIVIDUAL,YES
16,68,C_68,20170419,cycle,INDIVIDUAL,YES
16,98,C_98,20170419,cycle,INDIVIDUAL,YES
16,48,C_48,20170419,cycle,INDIVIDUAL,YES
17,63,C_63,20180305,cycle,INDIVIDUAL,YES
17,52,C_52,20180305,cycle,INDIVIDUAL,YES
17,36,C_36,20180305,cycle,INDIVIDUAL,YES
17,19,C_19,20180305,cycle,INDIVIDUAL,YES
18,31,C_31,20190120,cycle,INDIVIDUAL,YES
18,17,C_17,20190120,cycle,INDIVIDUAL,YES
18,88,C_88,20190129,cycle,INDIVIDUAL,YES
19,7,C_7,20170206,cycle,INDIVIDUAL,YES
19,35,C_35,20170206,cycle,INDIVIDUAL,YES
19,78,C_78,20170206,cycle,INDIVIDUAL,YES
19,16,C_16,20170206,cycle,INDIVIDUAL,YES
