tran_id,orig_acct,bene_acct,tx_type,base_amt,tran_timestamp,is_sar,alert_id
1,93,56,TRANSFER,889.62,2017-01-01T00:00:00Z,True,5
2,318,21,TRANSFER,898.99,2017-01-01T00:00:00Z,False,-1
3,306,73,TRANSFER,259.74,2017-01-01T00:00:00Z,False,-1
4,312,216,TRANSFER,1072.38,2017-01-01T00:00:00Z,False,-1
5,60,120,TRANSFER,142.99,2017-01-01T00:00:00Z,False,-1
6,77,14,TRANSFER,916.39,2017-01-01T00:00:00Z,False,-1
7,64,28,TRANSFER,1345.61,2017-01-01T00:00:00Z,False,-1
8,48,21,TRANSFER,1221.37,2017-01-01T00:00:00Z,False,-1
9,76,27,TRANSFER,861.05,2017-01-01T00:00:00Z,False,-1
10,314,41,TRANSFER,101.9,2017-01-01T00:00:00Z,False,-1
11,303,101,TRANSFER,1332.34,2017-01-01T00:00:00Z,False,-1
12,79,30,TRANSFER,1158.37,2017-01-01T00:00:00Z,False,-1
13,17,37,TRANSFER,452.7,2017-01-01T00:00:00Z,False,-1
14,25,348,TRANSFER,634.01,2017-01-01T00:00:00Z,False,-1
15,45,275,TRANSFER,219.21,2017-01-01T00:00:00Z,False,-1
16,8,138,TRANSFER,450.52,2017-01-01T00:00:00Z,False,-1
17,8,138,TRANSFER,888.75,2017-01-01T00:00:00Z,False,-1
18,107,40,TRANSFER,917.36,2017-01-01T00:00:00Z,False,-1
19,9,34,TRANSFER,341.46,2017-01-01T00:00:00Z,False,-1
20,89,50,TRANSFER,531.23,2017-01-01T00:00:00Z,False,-1
21,6,32,TRANSFER,252.47,2017-01-01T00:00:00Z,False,-1
22,9,40,TRANSFER,1609.44,2017-01-01T00:00:00Z,True,2
23,40,31,TRANSFER,1779.57,2017-01-01T00:00:00Z,False,-1
24,69,47,TRANSFER,727.15,2017-01-01T00:00:00Z,True,4
25,66,13,TRANSFER,585.48,2017-01-01T00:00:00Z,False,-1
26,12,17,TRANSFER,1649.29,2017-01-01T00:00:00Z,False,-1
27,15,24,TRANSFER,1852.48,2017-01-01T00:00:00Z,False,-1
28,121,28,TRANSFER,539.08,2017-01-01T00:00:00Z,False,-1
29,44,265,TRANSFER,253.3,2017-01-01T00:00:00Z,False,-1
30,6,32,TRANSFER,1351.96,2017-01-02T00:00:00Z,False,-1
31,42,77,TRANSFER,1164.89,2017-01-02T00:00:00Z,True,3
32,105,271,TRANSFER,275.87,2017-01-02T00:00:00Z,False,-1
33,59,8,TRANSFER,1491.24,2017-01-02T00:00:00Z,False,-1
34,134,29,TRANSFER,1318.55,2017-01-02T00:00:00Z,False,-1
35,14,15,TRANSFER,1729.5,2017-01-02T00:00:00Z,False,-1
36,24,269,TRANSFER,481.08,2017-01-02T00:00:00Z,False,-1
37,31,64,TRANSFER,841.12,2017-01-02T00:00:00Z,False,-1
38,83,14,TRANSFER,231.03,2017-01-02T00:00:00Z,False,-1
39,33,27,TRANSFER,882.17,2017-01-02T00:00:00Z,False,-1
40,80,149,TRANSFER,1526.26,2017-01-02T00:00:00Z,False,-1
41,39,5,TRANSFER,843.22,2017-01-02T00:00:00Z,False,-1
42,319,29,TRANSFER,301.98,2017-01-02T00:00:00Z,False,-1
43,66,13,TRANSFER,329.53,2017-01-02T00:00:00Z,False,-1
44,73,21,TRANSFER,886.06,2017-01-02T00:00:00Z,False,-1
45,326,39,TRANSFER,852.83,2017-01-02T00:00:00Z,False,-1
46,11,27,TRANSFER,1412.73,2017-01-02T00:00:00Z,False,-1
47,67,76,TRANSFER,1146.24,2017-01-02T00:00:00Z,False,-1
48,18,31,TRANSFER,720.42,2017-01-02T00:00:00Z,False,-1
49,25,43,TRANSFER,1726.82,2017-01-02T00:00:00Z,True,8
50,65,49,TRANSFER,1979.71,2017-01-02T00:00:00Z,False,-1
51,78,22,TRANSFER,1101.73,2017-01-02T00:00:00Z,False,-1
52,120,37,TRANSFER,782.81,2017-01-02T00:00:00Z,False,-1
53,1,30,TRANSFER,614.74,2017-01-02T00:00:00Z,False,-1
54,85,118,TRANSFER,440.6,2017-01-02T00:00:00Z,False,-1
55,32,31,TRANSFER,391.32,2017-01-02T00:00:00Z,False,-1
56,316,16,TRANSFER,1581.54,2017-01-02T00:00:00Z,False,-1
57,37,28,TRANSFER,1631.86,2017-01-03T00:00:00Z,False,-1
58,10,19,TRANSFER,1503.51,2017-01-03T00:00:00Z,False,-1
59,28,26,TRANSFER,1000.82,2017-01-03T00:00:00Z,False,-1
60,2,40,TRANSFER,1821.23,2017-01-03T00:00:00Z,False,-1
61,34,326,TRANSFER,231.31,2017-01-03T00:00:00Z,False,-1
62,11,27,TRANSFER,525.43,2017-01-03T00:00:00Z,False,-1
63,84,7,TRANSFER,1434.04,2017-01-03T00:00:00Z,False,-1
64,41,70,TRANSFER,1473.25,2017-01-03T00:00:00Z,False,-1
65,4,19,TRANSFER,529.01,2017-01-03T00:00:00Z,False,-1
66,36,214,TRANSFER,1481.78,2017-01-03T00:00:00Z,False,-1
67,320,349,TRANSFER,580.49,2017-01-03T00:00:00Z,False,-1
68,116,313,TRANSFER,1467.55,2017-01-03T00:00:00Z,False,-1
69,62,113,TRANSFER,468.69,2017-01-03T00:00:00Z,False,-1
70,56,6,TRANSFER,1655.63,2017-01-03T00:00:00Z,False,-1
71,51,147,TRANSFER,1694.69,2017-01-03T00:00:00Z,False,-1
