step,normal,SAR
0,26,3
1,25,2
2,21,0
3,23,4
4,13,1
5,21,0
6,20,0
7,26,0
8,25,0
9,21,0
10,23,0
11,13,0
12,21,0
13,20,0
14,26,0
15,25,0
16,21,0
17,23,0
18,13,0
19,21,0
20,20,0
21,26,0
22,25,0
23,21,0
24,24,0
25,13,0
26,22,0
27,20,0
28,26,0
29,25,0
30,21,0
31,23,0
32,13,0
33,21,0
34,20,0
35,26,0
36,25,3
37,21,0
38,23,0
39,13,0
40,21,0
41,20,0
42,26,1
43,25,0
44,21,0
45,23,0
46,13,0
47,21,0
48,20,0
49,26,0
50,26,0
51,21,0
52,23,0
53,13,0
54,21,0
55,20,0
56,26,0
57,25,0
58,21,0
59,23,0
60,13,0
61,21,0
62,20,0
63,26,0
64,25,0
65,21,0
66,23,0
67,13,0
68,21,0
69,20,0
70,26,0
71,25,0
72,21,0
73,23,0
74,13,0
75,21,0
76,20,0
77,26,0
78,25,0
79,21,0
80,23,0
81,13,0
82,21,0
83,20,0
84,26,0
85,25,0
86,21,0
87,23,0
88,13,0
89,21,0
90,20,0
91,26,0
92,25,0
93,21,0
94,23,0
95,13,1
96,21,0
97,20,0
98,26,0
99,25,0
100,21,0
101,23,0
102,13,0
103,21,0
104,20,0
105,26,0
106,25,0
107,21,0
108,23,2
109,13,0
110,21,0
111,20,0
112,26,0
113,25,1
114,21,0
115,23,0
116,13,0
117,21,0
118,20,1
119,26,0
120,25,0
121,21,0
122,23,0
123,13,0
124,21,0
125,20,0
126,26,0
127,25,0
128,21,0
129,23,0
130,13,0
131,21,0
132,20,0
133,26,0
134,25,0
135,21,0
136,23,0
137,13,0
138,21,0
139,20,0
140,26,0
141,25,0
142,21,0
143,23,0
144,13,0
145,21,0
146,20,0
147,26,0
148,25,0
149,21,0
150,23,0
151,13,0
152,21,0
153,20,0
154,26,0
155,25,0
156,21,0
157,23,0
158,13,0
159,21,0
160,20,0
161,26,0
162,25,0
163,21,0
164,23,0
165,13,0
166,21,0
167,20,0
168,26,0
169,25,0
170,21,0
171,23,0
172,13,0
173,21,0
174,20,0
175,26,0
176,25,0
177,21,0
178,23,0
179,13,0
180,21,0
181,20,0
182,26,0
183,25,0
