step,type,amount,nameOrig,oldbalanceOrig,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isSAR,alertID
0,TRANSFER,889.62,93,72135.11,71245.49,56,95050.0,95939.62,1,5
0,TRANSFER,898.99,318,80394.6,79495.6,21,55503.8,56402.8,0,-1
0,TRANSFER,259.74,306,76296.35,76036.61,73,60872.44,61132.19,0,-1
0,TRANSFER,1072.38,312,88660.1,87587.71,216,71567.96,72640.35,0,-1
0,TRANSFER,142.99,60,50073.69,49930.7,120,83323.07,83466.07,0,-1
0,TRANSFER,916.39,77,64434.64,63518.24,14,65778.25,66694.64,0,-1
0,TRANSFER,1345.61,64,60371.98,59026.36,28,97364.88,98710.5,0,-1
0,TRANSFER,1221.37,48,72055.89,70834.51,21,56402.8,57624.18,0,-1
0,TRANSFER,861.05,76,71387.28,70526.23,27,89011.64,89872.69,0,-1
0,TRANSFER,101.9,314,89747.79,89645.89,41,91424.71,91526.61,0,-1
0,TRANSFER,1332.34,303,69755.02,68422.67,101,86317.5,87649.85,0,-1
0,TRANSFER,1158.37,79,66840.21,65681.83,30,62347.8,63506.17,0,-1
0,TRANSFER,452.7,17,84207.89,83755.18,37,54170.19,54622.9,0,-1
0,TRANSFER,634.01,25,84081.82,83447.81,348,78217.99,78852.0,0,-1
0,TRANSFER,219.21,45,99761.85,99542.64,275,92728.03,92947.25,0,-1
0,TRANSFER,450.52,8,83275.77,82825.25,138,76523.39,76973.91,0,-1
0,TRANSFER,888.75,8,82825.25,81936.49,138,76973.91,77862.67,0,-1
0,TRANSFER,917.36,107,76780.59,75863.22,40,55742.01,56659.37,0,-1
0,TRANSFER,341.46,9,55957.76,55616.3,34,55349.1,55690.56,0,-1
0,TRANSFER,531.23,89,75928.0,75396.77,50,78287.25,78818.48,0,-1
0,TRANSFER,252.47,6,85092.46,84839.98,32,67381.78,67634.26,0,-1
0,TRANSFER,1609.44,9,55616.3,54006.86,40,56659.37,58268.82,1,2
0,TRANSFER,1779.57,40,58268.82,56489.23,31,62918.16,64697.73,0,-1
0,TRANSFER,727.15,69,78183.56,77456.4,47,94994.32,95721.47,1,4
0,TRANSFER,585.48,66,82212.2,81626.71,13,77842.92,78428.41,0,-1
0,TRANSFER,1649.29,12,69359.53,67710.23,17,83755.18,85404.48,0,-1
0,TRANSFER,1852.48,15,63709.67,61857.18,24,68466.17,70318.66,0,-1
0,TRANSFER,539.08,121,62188.23,61649.15,28,98710.5,99249.58,0,-1
0,TRANSFER,253.3,44,74544.28,74290.98,265,51450.19,51703.5,0,-1
1,TRANSFER,1351.96,6,84839.98,83488.02,32,67634.26,68986.22,0,-1
1,TRANSFER,1164.89,42,57095.28,55930.39,77,63518.24,64683.14,1,3
1,TRANSFER,275.87,105,60570.35,60294.48,271,56064.75,56340.62,0,-1
1,TRANSFER,1491.24,59,71569.64,70078.39,8,81936.49,83427.74,0,-1
1,TRANSFER,1318.55,134,81840.78,80522.23,29,83346.96,84665.52,0,-1
1,TRANSFER,1729.5,14,66694.64,64965.14,15,61857.18,63586.69,0,-1
1,TRANSFER,481.08,24,70318.66,69837.57,269,77619.27,78100.35,0,-1
1,TRANSFER,841.12,31,64697.73,63856.6,64,59026.36,59867.49,0,-1
1,TRANSFER,231.03,83,54338.96,54107.93,14,64965.14,65196.17,0,-1
1,TRANSFER,882.17,33,67160.47,66278.29,27,89872.69,90754.87,0,-1
1,TRANSFER,1526.26,80,90749.67,89223.41,149,53656.3,55182.57,0,-1
1,TRANSFER,843.22,39,66698.9,65855.67,5,80325.49,81168.71,0,-1
1,TRANSFER,301.98,319,56110.89,55808.9,29,84665.52,84967.5,0,-1
1,TRANSFER,329.53,66,81626.71,81297.18,13,78428.41,78757.94,0,-1
1,TRANSFER,886.06,73,61132.19,60246.12,21,57624.18,58510.24,0,-1
1,TRANSFER,852.83,326,80369.77,79516.93,39,65855.67,66708.51,0,-1
1,TRANSFER,1412.73,11,55864.51,54451.77,27,90754.87,92167.6,0,-1
1,TRANSFER,1146.24,67,62852.12,61705.87,76,70526.23,71672.48,0,-1
1,TRANSFER,720.42,18,61522.64,60802.22,31,63856.6,64577.03,0,-1
1,TRANSFER,1726.82,25,83447.81,81720.99,43,52131.37,53858.2,1,8
1,TRANSFER,1979.71,65,84912.85,82933.14,49,71407.07,73386.78,0,-1
1,TRANSFER,1101.73,78,55836.62,54734.89,22,68572.1,69673.84,0,-1
1,TRANSFER,782.81,120,83466.07,82683.25,37,54622.9,55405.72,0,-1
1,TRANSFER,614.74,1,95402.77,94788.03,30,63506.17,64120.91,0,-1
1,TRANSFER,440.6,85,84029.36,83588.75,118,99058.95,99499.56,0,-1
1,TRANSFER,391.32,32,68986.22,68594.9,31,64577.03,64968.35,0,-1
1,TRANSFER,1581.54,316,61895.82,60314.27,16,73974.82,75556.36,0,-1
2,TRANSFER,1631.86,37,55405.72,53773.85,28,99249.58,100881.45,0,-1
2,TRANSFER,1503.51,10,77600.1,76096.59,19,63042.69,64546.2,0,-1
2,TRANSFER,1000.82,28,100881.45,99880.63,26,63234.62,64235.44,0,-1
2,TRANSFER,1821.23,2,77640.75,75819.52,40,56489.23,58310.47,0,-1
2,TRANSFER,231.31,34,55690.56,55459.24,326,79516.93,79748.25,0,-1
2,TRANSFER,525.43,11,54451.77,53926.33,27,92167.6,92693.04,0,-1
2,TRANSFER,1434.04,84,53995.78,52561.74,7,58290.83,59724.88,0,-1
2,TRANSFER,1473.25,41,91526.61,90053.35,70,98273.04,99746.29,0,-1
2,TRANSFER,529.01,4,86192.99,85663.98,19,64546.2,65075.21,0,-1
2,TRANSFER,1481.78,36,56770.66,55288.87,214,95678.5,97160.28,0,-1
2,TRANSFER,580.49,320,58661.62,58081.12,349,76772.07,77352.57,0,-1
2,TRANSFER,1467.55,116,69612.93,68145.38,313,85773.25,87240.81,0,-1
2,TRANSFER,468.69,62,56556.01,56087.32,113,50288.32,50757.01,0,-1
2,TRANSFER,1655.63,56,95939.62,94283.99,6,83488.02,85143.64,0,-1
2,TRANSFER,1694.69,51,78710.03,77015.33,147,76305.81,78000.51,0,-1
2,TRANSFER,863.88,122,54828.8,53964.91,17,85404.48,86268.36,0,-1
2,TRANSFER,744.67,13,78757.94,78013.27,69,77456.4,78201.07,0,-1
2,TRANSFER,1614.39,13,78013.27,76398.87,69,78201.07,79815.47,0,-1
2,TRANSFER,1100.16,309,67467.67,66367.5,118,99499.56,100599.72,0,-1
