tran_id,orig_acct,bene_acct,tx_type,base_amt,tran_timestamp,is_sar,alert_id
1,304,54,TRANSFER,922.89,2017-01-01T00:00:00Z,False,-1
2,26,36,TRANSFER,396.83,2017-01-01T00:00:00Z,True,8
3,36,13,TRANSFER,972.79,2017-01-01T00:00:00Z,False,-1
4,61,116,TRANSFER,852.85,2017-01-01T00:00:00Z,False,-1
5,20,43,TRANSFER,467.97,2017-01-01T00:00:00Z,False,-1
6,317,47,TRANSFER,773.67,2017-01-01T00:00:00Z,False,-1
7,30,31,TRANSFER,162.91,2017-01-01T00:00:00Z,True,1
8,26,10,TRANSFER,267.6,2017-01-01T00:00:00Z,False,-1
9,117,36,TRANSFER,903.79,2017-01-01T00:00:00Z,False,-1
10,60,264,TRANSFER,777.5,2017-01-01T00:00:00Z,False,-1
11,89,4,TRANSFER,216.38,2017-01-01T00:00:00Z,True,6
12,324,30,TRANSFER,250.35,2017-01-01T00:00:00Z,False,-1
13,75,3,TRANSFER,585.45,2017-01-01T00:00:00Z,True,0
14,24,215,TRANSFER,927.75,2017-01-01T00:00:00Z,False,-1
15,96,72,TRANSFER,603.35,2017-01-01T00:00:00Z,True,7
16,10,28,TRANSFER,117.56,2017-01-01T00:00:00Z,False,-1
17,302,36,TRANSFER,722.61,2017-01-01T00:00:00Z,False,-1
18,40,136,TRANSFER,608.15,2017-01-01T00:00:00Z,False,-1
19,54,67,TRANSFER,110.7,2017-01-01T00:00:00Z,False,-1
20,36,13,TRANSFER,855.92,2017-01-02T00:00:00Z,False,-1
21,30,71,TRANSFER,70.93,2017-01-02T00:00:00Z,False,-1
22,42,71,TRANSFER,931.97,2017-01-02T00:00:00Z,False,-1
23,29,31,TRANSFER,86.31,2017-01-02T00:00:00Z,False,-1
24,29,31,TRANSFER,600.73,2017-01-02T00:00:00Z,False,-1
25,64,73,TRANSFER,727.7,2017-01-02T00:00:00Z,False,-1
26,40,23,TRANSFER,95.44,2017-01-02T00:00:00Z,True,5
27,315,60,TRANSFER,481.62,2017-01-02T00:00:00Z,False,-1
28,9,64,TRANSFER,978.87,2017-01-02T00:00:00Z,False,-1
29,316,109,TRANSFER,493.4,2017-01-02T00:00:00Z,False,-1
30,55,29,TRANSFER,422.04,2017-01-02T00:00:00Z,False,-1
31,68,17,TRANSFER,902.39,2017-01-02T00:00:00Z,True,9
32,46,33,TRANSFER,425.47,2017-01-02T00:00:00Z,False,-1
33,307,34,TRANSFER,149.06,2017-01-02T00:00:00Z,False,-1
34,108,30,TRANSFER,610.22,2017-01-02T00:00:00Z,False,-1
35,34,33,TRANSFER,599.04,2017-01-02T00:00:00Z,True,11
36,54,67,TRANSFER,735.7,2017-01-02T00:00:00Z,False,-1
37,33,34,TRANSFER,358.07,2017-01-02T00:00:00Z,False,-1
38,309,14,TRANSFER,444.69,2017-01-02T00:00:00Z,False,-1
39,39,14,TRANSFER,702.52,2017-01-02T00:00:00Z,False,-1
40,118,30,TRANSFER,315.2,2017-01-02T00:00:00Z,False,-1
41,3,33,TRANSFER,563.1,2017-01-02T00:00:00Z,False,-1
42,70,15,TRANSFER,817.17,2017-01-03T00:00:00Z,False,-1
43,0,346,TRANSFER,702.35,2017-01-03T00:00:00Z,False,-1
44,323,59,TRANSFER,718.94,2017-01-03T00:00:00Z,False,-1
45,19,34,TRANSFER,296.75,2017-01-03T00:00:00Z,True,11
46,8,17,TRANSFER,54.0,2017-01-03T00:00:00Z,False,-1
47,76,9,TRANSFER,600.63,2017-01-03T00:00:00Z,False,-1
