step,normal,SAR
0,14,5
1,19,3
2,20,2
3,29,2
4,29,0
5,17,0
6,22,1
7,14,1
8,19,0
9,20,1
10,29,0
11,29,0
12,17,0
13,22,0
14,14,0
15,19,0
16,20,0
17,29,0
18,29,1
19,18,0
20,22,0
21,14,0
22,19,0
23,20,0
24,29,0
25,29,0
26,17,0
27,22,1
28,14,0
29,19,0
30,20,0
31,29,0
32,29,0
33,17,0
34,22,1
35,14,0
36,19,1
37,20,0
38,30,0
39,29,0
40,17,0
41,22,0
42,14,1
43,19,0
44,20,0
45,29,0
46,29,0
47,17,0
48,23,0
49,14,0
50,19,0
51,20,0
52,29,0
53,29,1
54,18,1
55,22,0
56,14,1
57,19,0
58,21,0
59,29,0
60,29,0
61,17,0
62,22,1
63,14,0
64,19,0
65,21,1
66,29,0
67,29,0
68,17,0
69,22,0
70,14,0
71,19,1
72,20,0
73,29,0
74,29,0
75,17,0
76,22,0
77,14,0
78,19,0
79,20,0
80,29,0
81,29,0
82,18,0
83,22,0
84,14,1
85,19,0
86,20,0
87,29,0
88,29,0
89,17,1
90,22,0
91,14,0
92,19,0
93,20,0
94,29,1
95,29,0
96,17,0
97,22,0
98,14,0
99,19,0
100,20,0
101,29,0
102,29,0
103,17,0
104,22,0
105,14,0
106,19,0
107,20,0
108,29,0
109,29,0
110,17,0
111,22,0
112,14,0
113,20,0
114,20,0
115,29,0
116,29,0
117,17,0
118,22,0
119,14,0
120,19,0
121,20,0
122,29,0
123,29,0
124,17,0
125,22,0
126,14,1
127,19,0
128,20,0
129,29,0
130,29,0
131,17,0
132,22,0
133,14,0
134,19,0
135,20,0
136,29,0
137,29,1
138,17,0
139,22,1
140,15,2
141,19,3
142,20,0
143,29,0
144,29,0
145,17,1
146,22,0
147,14,0
148,19,0
149,20,1
150,29,2
151,29,0
152,17,1
153,22,0
154,14,1
155,19,0
156,20,0
157,29,0
158,29,0
159,17,0
160,22,1
161,14,0
162,19,0
163,21,0
164,29,0
165,29,0
166,17,1
167,22,1
168,14,0
169,19,1
170,20,0
171,29,2
172,29,0
173,17,0
174,22,0
175,14,0
176,19,0
177,20,1
178,29,0
179,29,0
180,17,0
181,22,0
182,14,0
183,19,0
184,20,0
185,29,0
186,30,0
187,17,0
188,22,1
189,14,0
190,19,0
191,20,0
192,30,0
193,30,1
194,17,0
195,22,0
196,14,0
197,19,0
198,21,0
199,29,0
200,29,0
201,17,0
202,22,0
203,14,0
204,19,0
205,20,0
206,30,0
207,29,0
208,17,0
209,22,0
210,14,0
211,19,0
212,20,0
213,29,0
214,29,0
215,17,0
216,22,0
217,14,0
218,19,0
219,20,0
220,29,0
221,29,0
