step,type,amount,nameOrig,oldbalanceOrig,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isSAR,alertID
0,TRANSFER,922.89,304,63477.03,62554.14,54,83403.99,84326.88,0,-1
0,TRANSFER,396.83,26,62118.96,61722.12,36,51333.62,51730.46,1,8
0,TRANSFER,972.79,36,51730.46,50757.66,13,71855.42,72828.22,0,-1
0,TRANSFER,852.85,61,94819.36,93966.51,116,94005.17,94858.03,0,-1
0,TRANSFER,467.97,20,50376.87,49908.89,43,95921.14,96389.11,0,-1
0,TRANSFER,773.67,317,95505.6,94731.92,47,59104.92,59878.6,0,-1
0,TRANSFER,162.91,30,70788.75,70625.84,31,96857.54,97020.46,1,1
0,TRANSFER,267.6,26,61722.12,61454.51,10,97070.67,97338.28,0,-1
0,TRANSFER,903.79,117,79111.42,78207.63,36,50757.66,51661.46,0,-1
0,TRANSFER,777.5,60,50132.55,49355.05,264,64595.71,65373.21,0,-1
0,TRANSFER,216.38,89,72954.54,72738.16,4,57157.89,57374.27,1,6
0,TRANSFER,250.35,324,96136.25,95885.89,30,70625.84,70876.19,0,-1
0,TRANSFER,585.45,75,55839.19,55253.74,3,54057.03,54642.48,1,0
0,TRANSFER,927.75,24,75116.07,74188.32,215,80447.9,81375.66,0,-1
0,TRANSFER,603.35,96,87556.53,86953.18,72,99573.06,100176.41,1,7
0,TRANSFER,117.56,10,97338.28,97220.71,28,51347.44,51465.01,0,-1
0,TRANSFER,722.61,302,73086.17,72363.55,36,51661.46,52384.07,0,-1
0,TRANSFER,608.15,40,61326.37,60718.22,136,62254.14,62862.3,0,-1
0,TRANSFER,110.7,54,84326.88,84216.17,67,89134.36,89245.07,0,-1
1,TRANSFER,855.92,36,52384.07,51528.15,13,72828.22,73684.14,0,-1
1,TRANSFER,70.93,30,70876.19,70805.25,71,54219.03,54289.97,0,-1
1,TRANSFER,931.97,42,63954.78,63022.81,71,54289.97,55221.94,0,-1
1,TRANSFER,86.31,29,69337.6,69251.28,31,97020.46,97106.78,0,-1
1,TRANSFER,600.73,29,69251.28,68650.54,31,97106.78,97707.51,0,-1
1,TRANSFER,727.7,64,83611.35,82883.64,73,63845.14,64572.84,0,-1
1,TRANSFER,95.44,40,60718.22,60622.78,23,72112.7,72208.14,1,5
1,TRANSFER,481.62,315,51401.8,50920.17,60,49355.05,49836.68,0,-1
1,TRANSFER,978.87,9,56759.78,55780.91,64,82883.64,83862.51,0,-1
1,TRANSFER,493.4,316,76479.45,75986.04,109,88266.13,88759.53,0,-1
1,TRANSFER,422.04,55,95280.09,94858.04,29,68650.54,69072.59,0,-1
1,TRANSFER,902.39,68,98775.52,97873.12,17,96214.35,97116.75,1,9
1,TRANSFER,425.47,46,99055.96,98630.49,33,75718.46,76143.93,0,-1
1,TRANSFER,149.06,307,73034.71,72885.64,34,51218.07,51367.14,0,-1
1,TRANSFER,610.22,108,90791.32,90181.09,30,70805.25,71415.48,0,-1
1,TRANSFER,599.04,34,51367.14,50768.09,33,76143.93,76742.98,1,11
1,TRANSFER,735.7,54,84216.17,83480.47,67,89245.07,89980.77,0,-1
1,TRANSFER,358.07,33,76742.98,76384.9,34,50768.09,51126.16,0,-1
1,TRANSFER,444.69,309,91349.79,90905.1,14,62364.17,62808.86,0,-1
1,TRANSFER,702.52,39,59995.57,59293.04,14,62808.86,63511.39,0,-1
1,TRANSFER,315.2,118,51598.6,51283.4,30,71415.48,71730.68,0,-1
1,TRANSFER,563.1,3,54642.48,54079.38,33,76384.9,76948.0,0,-1
2,TRANSFER,817.17,70,98025.46,97208.29,15,62942.03,63759.2,0,-1
2,TRANSFER,702.35,0,96157.72,95455.37,346,94147.53,94849.89,0,-1
2,TRANSFER,718.94,323,91902.78,91183.83,59,94676.72,95395.67,0,-1
2,TRANSFER,296.75,19,91422.24,91125.49,34,51126.16,51422.91,1,11
2,TRANSFER,54.0,8,76138.18,76084.18,17,97116.75,97170.75,0,-1
2,TRANSFER,600.63,76,79798.06,79197.42,9,55780.91,56381.55,0,-1
2,TRANSFER,299.33,15,63759.2,63459.87,24,74188.32,74487.65,0,-1
