alert_id,alert_type,is_sar,tran_id,orig_acct,bene_acct,tx_type,base_amt,tran_timestamp
2,fan_in,True,6,175,10,TRANSFER,461.31,2017-01-01T00:00:00Z
4,fan_in,True,7,115,16,TRANSFER,481.78,2017-01-01T00:00:00Z
3,fan_in,True,12,288,17,TRANSFER,411.32,2017-01-01T00:00:00Z
1,fan_in,True,17,137,22,TRANSFER,237.88,2017-01-01T00:00:00Z
0,fan_in,True,26,107,36,TRANSFER,223.89,2017-01-02T00:00:00Z
4,fan_in,True,106,139,16,TRANSFER,59.48,2017-01-08T00:00:00Z
2,fan_in,True,174,193,10,TRANSFER,142.33,2017-01-13T00:00:00Z
0,fan_in,True,177,101,36,TRANSFER,52.72,2017-01-13T00:00:00Z
4,fan_in,True,211,148,16,TRANSFER,70.24,2017-01-15T00:00:00Z
4,fan_in,True,307,144,16,TRANSFER,491.77,2017-01-22T00:00:00Z
3,fan_in,True,329,214,17,TRANSFER,312.82,2017-01-23T00:00:00Z
0,fan_in,True,332,104,36,TRANSFER,461.17,2017-01-24T00:00:00Z
2,fan_in,True,348,114,10,TRANSFER,107.46,2017-01-25T00:00:00Z
4,fan_in,True,401,184,16,TRANSFER,37.18,2017-01-29T00:00:00Z
0,fan_in,True,481,168,36,TRANSFER,474.09,2017-02-04T00:00:00Z
1,fan_in,True,512,140,22,TRANSFER,282.81,2017-02-06T00:00:00Z
2,fan_in,True,526,127,10,TRANSFER,466.28,2017-02-06T00:00:00Z
3,fan_in,True,627,350,17,TRANSFER,413.14,2017-02-14T00:00:00Z
2,fan_in,True,680,131,10,TRANSFER,373.58,2017-02-18T00:00:00Z
2,fan_in,True,841,133,10,TRANSFER,42.1,2017-03-02T00:00:00Z
3,fan_in,True,933,222,17,TRANSFER,90.8,2017-03-08T00:00:00Z
1,fan_in,True,1014,178,22,TRANSFER,226.88,2017-03-14T00:00:00Z
1,fan_in,True,1502,174,22,TRANSFER,277.66,2017-04-19T00:00:00Z
8,cycle,True,1811,331,345,TRANSFER,369.23,2017-05-11T00:00:00Z
8,cycle,True,1833,57,331,TRANSFER,339.05,2017-05-13T00:00:00Z
8,cycle,True,1853,108,138,TRANSFER,36.62,2017-05-14T00:00:00Z
8,cycle,True,1885,138,96,TRANSFER,494.38,2017-05-16T00:00:00Z
8,cycle,True,1886,96,56,TRANSFER,249.74,2017-05-16T00:00:00Z
8,cycle,True,1918,106,108,TRANSFER,493.67,2017-05-18T00:00:00Z
9,cycle,True,1919,275,369,TRANSFER,149.43,2017-05-18T00:00:00Z
9,cycle,True,1920,147,112,TRANSFER,152.52,2017-05-18T00:00:00Z
8,cycle,True,1926,345,106,TRANSFER,330.94,2017-05-19T00:00:00Z
8,cycle,True,1927,56,57,TRANSFER,383.94,2017-05-19T00:00:00Z
1,fan_in,True,2009,170,22,TRANSFER,264.54,2017-05-25T00:00:00Z
9,cycle,True,2028,49,52,TRANSFER,368.08,2017-05-26T00:00:00Z
9,cycle,True,2036,39,49,TRANSFER,398.81,2017-05-27T00:00:00Z
9,cycle,True,2087,369,147,TRANSFER,442.71,2017-05-30T00:00:00Z
9,cycle,True,2088,112,39,TRANSFER,313.21,2017-05-30T00:00:00Z
9,cycle,True,2089,52,275,TRANSFER,495.51,2017-05-30T00:00:00Z
7,cycle,True,2095,268,264,TRANSFER,316.2,2017-05-30T00:00:00Z
7,cycle,True,2108,160,27,TRANSFER,265.67,2017-05-31T00:00:00Z
7,cycle,True,2109,43,268,TRANSFER,275.28,2017-05-31T00:00:00Z
7,cycle,True,2174,27,43,TRANSFER,458.64,2017-06-04T00:00:00Z
7,cycle,True,2189,264,165,TRANSFER,233.39,2017-06-05T00:00:00Z
7,cycle,True,2190,165,160,TRANSFER,384.16,2017-06-05T00:00:00Z
6,cycle,True,2318,299,234,TRANSFER,288.14,2017-06-15T00:00:00Z
6,cycle,True,2319,156,129,TRANSFER,370.88,2017-06-15T00:00:00Z
6,cycle,True,2405,45,80,TRANSFER,76.45,2017-06-21T00:00:00Z
6,cycle,True,2414,129,45,TRANSFER,198.77,2017-06-22T00:00:00Z
6,cycle,True,2415,80,20,TRANSFER,293.28,2017-06-22T00:00:00Z
6,cycle,True,2416,20,299,TRANSFER,112.93,2017-06-22T00:00:00Z
6,cycle,True,2436,234,156,TRANSFER,352.66,2017-06-24T00:00:00Z
1,fan_in,True,2523,135,22,TRANSFER,97.98,2017-06-30T00:00:00Z
5,cycle,True,2894,290,247,TRANSFER,428.15,2017-07-27T00:00:00Z
5,cycle,True,2895,9,60,TRANSFER,354.12,2017-07-27T00:00:00Z
5,cycle,True,2953,119,145,TRANSFER,136.57,2017-07-30T00:00:00Z
5,cycle,True,2954,60,40,TRANSFER,183.89,2017-07-30T00:00:00Z
5,cycle,True,2960,40,290,TRANSFER,167.3,2017-07-31T00:00:00Z
5,cycle,True,3005,247,119,TRANSFER,499.45,2017-08-03T00:00:00Z
5,cycle,True,3006,145,9,TRANSFER,300.4,2017-08-03T00:00:00Z
1,fan_in,True,3028,132,22,TRANSFER,344.24,2017-08-05T00:00:00Z
1,fan_in,True,3524,126,22,TRANSFER,448.08,2017-09-10T00:00:00Z
