birthPlaceCountry,countryOfIncorporation,countryOfResidency,deathTime,firstName,isActive,lastName,legalName,listedCompany,maritalStatus,middleName,name,nameAlias,nationality,occupation,organizationSymbol,partyId,partyType,sourceOfIncome,title,website,gender,homePhone,alternatePhone,cellPhone,primaryPhone,workPhone,alternateEmail,companyEmail,personalEmail,workEmail,isIndividual
US,US,US,,,,,,,,,,,US,,,1,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,2,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,5,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,8,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,11,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,15,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,16,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,18,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,23,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,24,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,25,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,27,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,31,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,32,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,33,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,36,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,37,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,39,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,42,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,43,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,47,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,48,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,51,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,53,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,54,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,55,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,57,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,59,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,63,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,64,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,65,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,67,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,73,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,74,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,79,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,80,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,81,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,84,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,87,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,88,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,89,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,90,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,92,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,93,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,94,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,95,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,97,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,99,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,101,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,103,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,104,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,105,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,106,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,107,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,108,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,110,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,113,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,115,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,119,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,122,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,124,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,126,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,127,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,128,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,129,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,130,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,131,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,132,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,134,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,135,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,136,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,137,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,139,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,140,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,145,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,146,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,151,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,154,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,156,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,160,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,163,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,165,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,166,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,168,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,171,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,172,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,176,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,177,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,180,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,182,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,184,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,186,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,187,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,188,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,190,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,191,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,192,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,203,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,205,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,207,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,210,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,211,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,214,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,220,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,221,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,222,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,223,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,224,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,229,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,230,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,231,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,238,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,242,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,243,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,244,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,246,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,248,Organization,,,,,,,,,,,,,,False
