ALERT_ID,ACCOUNT_ID,CUSTOMER_ID,EVENT_DATE,ALERT_TYPE,ACCOUNT_TYPE,IS_SAR
0,107,C_107,20170102,fan_in,INDIVIDUAL,YES
0,36,C_36,20170102,fan_in,INDIVIDUAL,YES
0,101,C_101,20170113,fan_in,INDIVIDUAL,YES
0,104,C_104,20170124,fan_in,INDIVIDUAL,YES
0,168,C_168,20170204,fan_in,INDIVIDUAL,YES
1,137,C_137,20170101,fan_in,INDIVIDUAL,YES
1,22,C_22,20170101,fan_in,INDIVIDUAL,YES
1,140,C_140,20170206,fan_in,INDIVIDUAL,YES
1,178,C_178,20170314,fan_in,INDIVIDUAL,YES
1,174,C_174,20170419,fan_in,INDIVIDUAL,YES
1,170,C_170,20170525,fan_in,INDIVIDUAL,YES
1,135,C_135,20170630,fan_in,INDIVIDUAL,YES
1,132,C_132,20170805,fan_in,INDIVIDUAL,YES
1,126,C_126,20170910,fan_in,INDIVIDUAL,YES
2,175,C_175,20170101,fan_in,INDIVIDUAL,YES
2,10,C_10,20170101,fan_in,INDIVIDUAL,YES
2,193,C_193,20170113,fan_in,INDIVIDUAL,YES
2,114,C_114,20170125,fan_in,INDIVIDUAL,YES
2,127,C_127,20170206,fan_in,INDIVIDUAL,YES
2,131,C_131,20170218,fan_in,INDIVIDUAL,YES
2,133,C_133,20170302,fan_in,INDIVIDUAL,YES
3,288,C_288,20170101,fan_in,INDIVIDUAL,YES
3,17,C_17,20170101,fan_in,INDIVIDUAL,YES
3,214,C_214,20170123,fan_in,INDIVIDUAL,YES
3,350,C_350,20170214,fan_in,INDIVIDUAL,YES
3,222,C_222,20170308,fan_in,INDIVIDUAL,YES
4,115,C_115,20170101,fan_in,INDIVIDUAL,YES
4,16,C_16,20170101,fan_in,INDIVIDUAL,YES
4,139,C_139,20170108,fan_in,INDIVIDUAL,YES
4,148,C_148,20170115,fan_in,INDIVIDUAL,YES
4,144,C_144,20170122,fan_in,INDIVIDUAL,YES
4,184,C_184,20170129,fan_in,INDIVIDUAL,YES
5,290,C_290,20170727,cycle,INDIVIDUAL,YES
5,247,C_247,20170727,cycle,INDIVIDUAL,YES
5,9,C_9,20170727,cycle,INDIVIDUAL,YES
5,60,C_60,20170727,cycle,INDIVIDUAL,YES
5,119,C_119,20170730,cycle,INDIVIDUAL,YES
5,145,C_145,20170730,cycle,INDIVIDUAL,YES
5,40,C_40,20170730,cycle,INDIVIDUAL,YES
6,299,C_299,20170615,cycle,INDIVIDUAL,YES
6,234,C_234,20170615,cycle,INDIVIDUAL,YES
6,156,C_156,20170615,cycle,INDIVIDUAL,YES
6,129,C_129,20170615,cycle,INDIVIDUAL,YES
6,45,C_45,20170621,cycle,INDIVIDUAL,YES
6,80,C_80,20170621,cycle,INDIVIDUAL,YES
6,20,C_20,20170622,cycle,INDIVIDUAL,YES
7,268,C_268,20170530,cycle,INDIVIDUAL,YES
7,264,C_264,20170530,cycle,INDIVIDUAL,YES
7,160,C_160,20170531,cycle,INDIVIDUAL,YES
7,27,C_27,20170531,cycle,INDIVIDUAL,YES
7,43,C_43,20170531,cycle,INDIVIDUAL,YES
7,165,C_165,20170605,cycle,INDIVIDUAL,YES
8,331,C_331,20170511,cycle,INDIVIDUAL,YES
8,345,C_345,20170511,cycle,INDIVIDUAL,YES
8,57,C_57,20170513,cycle,INDIVIDUAL,YES
8,108,C_108,20170514,cycle,INDIVIDUAL,YES
8,138,C_138,20170514,cycle,INDIVIDUAL,YES
8,96,C_96,20170516,cycle,INDIVIDUAL,YES
8,56,C_56,20170516,cycle,INDIVIDUAL,YES
8,106,C_106,20170518,cycle,INDIVIDUAL,YES
9,275,C_275,20170518,cycle,INDIVIDUAL,YES
9,369,C_369,20170518,cycle,INDIVIDUAL,YES
9,147,C_147,20170518,cycle,INDIVIDUAL,YES
9,112,C_112,20170518,cycle,INDIVIDUAL,YES
9,49,C_49,20170526,cycle,INDIVIDUAL,YES
9,52,C_52,20170526,cycle,INDIVIDUAL,YES
9,39,C_39,20170527,cycle,INDIVIDUAL,YES
