tran_id,orig_acct,bene_acct,tx_type,base_amt,tran_timestamp,is_sar,alert_id
1,35,221,TRANSFER,418.54,2017-01-01T00:00:00Z,False,-1
2,121,34,TRANSFER,212.45,2017-01-01T00:00:00Z,False,-1
3,13,96,TRANSFER,283.64,2017-01-01T00:00:00Z,False,-1
4,36,26,TRANSFER,29.85,2017-01-01T00:00:00Z,False,-1
5,304,32,TRANSFER,316.99,2017-01-01T00:00:00Z,False,-1
6,175,10,TRANSFER,461.31,2017-01-01T00:00:00Z,True,2
7,115,16,TRANSFER,481.78,2017-01-01T00:00:00Z,True,4
8,16,90,TRANSFER,496.43,2017-01-01T00:00:00Z,False,-1
9,116,55,TRANSFER,64.87,2017-01-01T00:00:00Z,False,-1
10,312,18,TRANSFER,381.72,2017-01-01T00:00:00Z,False,-1
11,323,34,TRANSFER,334.02,2017-01-01T00:00:00Z,False,-1
12,288,17,TRANSFER,411.32,2017-01-01T00:00:00Z,True,3
13,314,94,TRANSFER,489.65,2017-01-01T00:00:00Z,False,-1
14,21,226,TRANSFER,359.93,2017-01-01T00:00:00Z,False,-1
15,305,7,TRANSFER,323.01,2017-01-01T00:00:00Z,False,-1
16,108,20,TRANSFER,216.61,2017-01-01T00:00:00Z,False,-1
17,137,22,TRANSFER,237.88,2017-01-01T00:00:00Z,True,1
18,22,28,TRANSFER,425.84,2017-01-01T00:00:00Z,False,-1
19,41,11,TRANSFER,417.83,2017-01-02T00:00:00Z,False,-1
20,40,208,TRANSFER,51.72,2017-01-02T00:00:00Z,False,-1
21,302,40,TRANSFER,221.22,2017-01-02T00:00:00Z,False,-1
22,33,75,TRANSFER,434.21,2017-01-02T00:00:00Z,False,-1
23,15,198,TRANSFER,285.56,2017-01-02T00:00:00Z,False,-1
24,0,95,TRANSFER,404.34,2017-01-02T00:00:00Z,False,-1
25,26,41,TRANSFER,411.74,2017-01-02T00:00:00Z,False,-1
26,107,36,TRANSFER,223.89,2017-01-02T00:00:00Z,True,0
27,12,18,TRANSFER,277.26,2017-01-02T00:00:00Z,False,-1
28,303,28,TRANSFER,213.86,2017-01-02T00:00:00Z,False,-1
29,311,99,TRANSFER,450.77,2017-01-02T00:00:00Z,False,-1
30,19,214,TRANSFER,90.31,2017-01-02T00:00:00Z,False,-1
31,19,214,TRANSFER,191.42,2017-01-02T00:00:00Z,False,-1
32,114,28,TRANSFER,335.93,2017-01-02T00:00:00Z,False,-1
33,117,26,TRANSFER,380.1,2017-01-02T00:00:00Z,False,-1
34,18,64,TRANSFER,442.97,2017-01-02T00:00:00Z,False,-1
35,122,39,TRANSFER,238.76,2017-01-03T00:00:00Z,False,-1
36,306,111,TRANSFER,52.72,2017-01-03T00:00:00Z,False,-1
37,38,143,TRANSFER,199.96,2017-01-03T00:00:00Z,False,-1
38,179,102,TRANSFER,394.72,2017-01-03T00:00:00Z,False,-1
39,109,17,TRANSFER,46.31,2017-01-03T00:00:00Z,False,-1
40,14,43,TRANSFER,83.53,2017-01-03T00:00:00Z,False,-1
41,113,25,TRANSFER,32.64,2017-01-03T00:00:00Z,False,-1
42,1,306,TRANSFER,435.83,2017-01-03T00:00:00Z,False,-1
43,316,16,TRANSFER,378.98,2017-01-04T00:00:00Z,False,-1
44,32,136,TRANSFER,175.17,2017-01-04T00:00:00Z,False,-1
45,112,339,TRANSFER,426.0,2017-01-04T00:00:00Z,False,-1
46,308,119,TRANSFER,96.4,2017-01-04T00:00:00Z,False,-1
