step,type,amount,nameOrig,oldbalanceOrig,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isSAR,alertID
0,TRANSFER,418.54,35,99341.72,98923.17,221,83180.42,83598.97,0,-1
0,TRANSFER,212.45,121,57384.23,57171.77,34,83087.96,83300.42,0,-1
0,TRANSFER,283.64,13,59920.55,59636.91,96,60716.89,61000.53,0,-1
0,TRANSFER,29.85,36,67843.07,67813.22,26,84120.57,84150.42,0,-1
0,TRANSFER,316.99,304,81291.52,80974.52,32,69083.45,69400.45,0,-1
0,TRANSFER,461.31,175,55394.33,54933.02,10,59825.17,60286.49,1,2
0,TRANSFER,481.78,115,88843.32,88361.53,16,78880.6,79362.39,1,4
0,TRANSFER,496.43,16,79362.39,78865.96,90,54886.58,55383.01,0,-1
0,TRANSFER,64.87,116,53225.07,53160.2,55,90613.56,90678.43,0,-1
0,TRANSFER,381.72,312,87102.34,86720.61,18,69565.89,69947.62,0,-1
0,TRANSFER,334.02,323,82271.82,81937.79,34,83300.42,83634.45,0,-1
0,TRANSFER,411.32,288,83781.81,83370.49,17,77695.71,78107.03,1,3
0,TRANSFER,489.65,314,50748.03,50258.38,94,72696.53,73186.18,0,-1
0,TRANSFER,359.93,21,53857.46,53497.53,226,55738.12,56098.06,0,-1
0,TRANSFER,323.01,305,69194.75,68871.73,7,57451.62,57774.63,0,-1
0,TRANSFER,216.61,108,59500.03,59283.41,20,81270.25,81486.86,0,-1
0,TRANSFER,237.88,137,77609.54,77371.66,22,89309.5,89547.38,1,1
0,TRANSFER,425.84,22,89547.38,89121.53,28,56458.78,56884.62,0,-1
1,TRANSFER,417.83,41,76768.17,76350.33,11,90085.03,90502.86,0,-1
1,TRANSFER,51.72,40,67386.02,67334.29,208,65772.92,65824.65,0,-1
1,TRANSFER,221.22,302,96275.18,96053.96,40,67334.29,67555.52,0,-1
1,TRANSFER,434.21,33,64283.55,63849.34,75,60077.19,60511.41,0,-1
1,TRANSFER,285.56,15,93595.78,93310.21,198,63140.42,63425.99,0,-1
1,TRANSFER,404.34,0,86551.89,86147.55,95,52242.32,52646.66,0,-1
1,TRANSFER,411.74,26,84150.42,83738.67,41,76350.33,76762.07,0,-1
